exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
UgDm3oy,Kneeling Jump Squat,3,barbell,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/UgDm3oy.gif,"Step:1 Start by kneeling on the ground with your feet hip-width apart and your toes pointing forward. | Step:2 Hold a barbell across your upper back, resting it on your shoulders. | Step:3 Engage your core and glutes, then explosively jump up into the air, extending your hips and knees. | Step:4 As you jump, push through your toes and fully extend your ankles, knees, and hips. | Step:5 Land softly back on the ground, bending your knees to absorb the impact. | Step:6 Immediately go into the next repetition, repeating the jump squat motion.",7.5,7.0,7.5,9.0,7.5,7.5,0.0,0.0,8.5,9.0,Power Training,5.1,7.7,8.0,8.0,6.0,4.0,6.0,7.0,8.0,7.0,6.7
1gFNTZV,Barbell Jump Squat,2,barbell,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/1gFNTZV.gif,"Step:1 Start by standing with your feet shoulder-width apart, holding a barbell across your upper back. | Step:2 Lower your body into a squat position by bending your knees and pushing your hips back. | Step:3 Once you reach the bottom of the squat, explode upwards by jumping off the ground. | Step:4 As you jump, extend your hips, knees, and ankles, pushing through your toes. | Step:5 Land softly back into the squat position and immediately repeat the movement for the desired number of repetitions.",7.5,7.0,7.5,9.0,7.5,7.5,0.0,0.0,8.5,9.0,Power Training,5.1,7.7,8.0,8.0,6.0,5.0,7.0,6.0,7.0,5.0,6.7
a4F9Oyc,Kettlebell Double Alternating Hang Clean,4,kettlebell,biceps,"forearms, shoulders",upper arms,3,https://static.exercisedb.dev/media/a4F9Oyc.gif,"Step:1 Stand with your feet shoulder-width apart, holding a kettlebell in each hand with an overhand grip. | Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight and chest up. | Step:3 Allow the kettlebells to hang straight down in front of your body. | Step:4 In one fluid motion, explosively extend your hips and knees while shrugging your shoulders. | Step:5 As the kettlebells rise, pull them up towards your shoulders, keeping your elbows high and out to the sides. | Step:6 Catch the kettlebells at shoulder height, with your palms facing inward and your elbows pointing forward. | Step:7 Lower the kettlebells back down to the starting position and repeat for the desired number of repetitions.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,4.5,5.0,6.0,7.0,6.0,5.1
lFhb2Rw,Smith Front Squat (Clean Grip),5,smith machine,glutes,"quadriceps, hamstrings, calves, core",upper legs,5,https://static.exercisedb.dev/media/lFhb2Rw.gif,"Step:1 Set up the smith machine with the barbell at shoulder height. | Step:2 Stand facing the barbell with your feet shoulder-width apart. | Step:3 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Step:4 Step back and position the barbell on your front shoulders, resting it on your collarbone and deltoids. | Step:5 Keep your chest up, back straight, and core engaged. | Step:6 Lower your body by bending at the knees and hips, as if sitting back into a chair. | Step:7 Continue lowering until your thighs are parallel to the ground or slightly below. | Step:8 Pause for a moment, then push through your heels to return to the starting position. | Step:9 Repeat for the desired number of repetitions.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,2.0,3.0,5.0,7.0,8.0,5.1
7Hg55JG,Dumbbell Clean,4,dumbbell,glutes,"hamstrings, quadriceps, calves",upper legs,4,https://static.exercisedb.dev/media/7Hg55JG.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand with an overhand grip. | Step:2 Bend your knees and lower your hips into a squat position, keeping your back straight and chest up. | Step:3 Explosively extend your hips and knees, driving through your heels to jump off the ground. | Step:4 As you jump, shrug your shoulders and pull the dumbbells up towards your shoulders, keeping them close to your body. | Step:5 Catch the dumbbells at shoulder height, with your elbows pointing forward and your palms facing up. | Step:6 Lower the dumbbells back down to the starting position by reversing the movement. | Step:7 Repeat for the desired number of repetitions.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,4.5,5.0,6.0,7.0,6.0,5.1
SiWCcTN,Power Clean,5,barbell,hamstrings,"glutes, quadriceps, calves",upper legs,4,https://static.exercisedb.dev/media/SiWCcTN.gif,"Step:1 Start with the barbell on the ground in front of you, with your feet shoulder-width apart. | Step:2 Bend down and grip the barbell with an overhand grip, slightly wider than shoulder-width apart. | Step:3 Keep your back straight and chest up as you lift the barbell off the ground, extending your hips and knees. | Step:4 As the barbell reaches your mid-thigh, explosively pull it upwards, shrugging your shoulders and pulling your elbows high and to the sides. | Step:5 As the barbell reaches its highest point, quickly drop underneath it, rotating your elbows around and catching the barbell on your shoulders in a front squat position. | Step:6 Stand up with the barbell, fully extending your hips and knees. | Step:7 Lower the barbell back down to the starting position, keeping control of the weight throughout the movement. | Step:8 Repeat for the desired number of repetitions.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,2.0,3.0,5.0,7.0,8.0,5.1
xHKN2s8,Barbell One Arm Snatch,5,barbell,delts,"traps, forearms, core",shoulders,4,https://static.exercisedb.dev/media/xHKN2s8.gif,"Step:1 Stand with your feet shoulder-width apart, toes pointing slightly outwards. | Step:2 Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart. | Step:3 Bend your knees and lower your hips into a squat position, keeping your back straight and chest up. | Step:4 Explosively extend your hips, knees, and ankles, driving the barbell upwards. | Step:5 As the barbell reaches chest level, pull it upwards with your arm, keeping it close to your body. | Step:6 Rotate your elbow under the barbell and extend your arm fully overhead, locking out your elbow. | Step:7 Lower the barbell back down to the starting position in a controlled manner. | Step:8 Repeat for the desired number of repetitions, then switch arms.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,2.0,3.0,5.0,7.0,8.0,5.1
qi996YS,Barbell Clean-Grip Front Squat,4,barbell,glutes,"quadriceps, hamstrings, calves, core",upper legs,5,https://static.exercisedb.dev/media/qi996YS.gif,"Step:1 Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, with your elbows pointing forward. | Step:2 Lower your body by bending your knees and pushing your hips back, as if you are sitting back into a chair. | Step:3 Keep your chest up and your back straight as you lower down, making sure your knees do not go past your toes. | Step:4 Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. | Step:5 Pause for a moment at the bottom, then push through your heels to stand back up, extending your hips and knees. | Step:6 Repeat for the desired number of repetitions.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,2.0,5.0,6.0,8.0,7.0,5.1
M74kdvm,Kettlebell Double Snatch,3,kettlebell,delts,"trapezius, forearms, core",shoulders,4,https://static.exercisedb.dev/media/M74kdvm.gif,"Step:1 Stand with your feet shoulder-width apart, holding a kettlebell in each hand at arm's length in front of your thighs. | Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back flat and chest up. | Step:3 In one explosive motion, extend your hips, knees, and ankles, and simultaneously pull the kettlebells up towards your shoulders. | Step:4 As the kettlebells reach shoulder level, rotate your wrists and punch the kettlebells overhead, fully extending your arms. | Step:5 Lower the kettlebells back down to the starting position and repeat for the desired number of repetitions.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,6.5,6.0,7.0,6.0,5.0,5.1
4KJEpzb,Kettlebell Bottoms Up Clean From The Hang Position,5,kettlebell,biceps,"forearms, shoulders",upper arms,3,https://static.exercisedb.dev/media/4KJEpzb.gif,"Step:1 Stand with your feet shoulder-width apart, holding a kettlebell in one hand with an overhand grip. | Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight and chest up. | Step:3 Allow the kettlebell to hang down between your legs, with your arm fully extended. | Step:4 In one fluid motion, explosively extend your hips and knees while pulling the kettlebell up towards your shoulder. | Step:5 As the kettlebell reaches shoulder height, rotate your wrist so that the bottom of the kettlebell is facing up. | Step:6 Catch the kettlebell at shoulder height with your elbow bent and your palm facing up. | Step:7 Lower the kettlebell back down to the starting position by reversing the movement. | Step:8 Repeat for the desired number of repetitions, then switch sides.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,4.5,3.0,5.0,6.0,7.0,5.1
