exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
trmte8s,Band Shrug,1,band,traps,shoulders,neck,2,https://static.exercisedb.dev/media/trmte8s.gif,"Step:1 Stand with your feet shoulder-width apart and place the band under your feet, holding the ends with your hands. | Step:2 Keep your arms straight and relaxed, and let the band hang in front of your thighs. | Step:3 Engage your traps by shrugging your shoulders upward, lifting the band as high as possible. | Step:4 Hold the contraction for a moment, then slowly lower your shoulders back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiovascular Training,0.0,0.0,0.0,0.0,0.0,9.5,7.0,5.0,3.0,3.0,0.0
LMGXZn8,Barbell Decline Close Grip To Skull Press,2,barbell,triceps,"chest, shoulders",upper arms,3,https://static.exercisedb.dev/media/LMGXZn8.gif,"Step:1 Lie on a decline bench with your head lower than your feet and hold a barbell with a close grip. | Step:2 Lower the barbell towards your forehead by bending your elbows, keeping your upper arms stationary. | Step:3 Pause for a moment, then extend your arms to press the barbell back up to the starting position. | Step:4 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,6.0,8.0,6.0,6.0,4.0,4.5
0br45wL,Push-Up Inside Leg Kick,2,body weight,glutes,"quadriceps, hamstrings, calves, core",upper legs,5,https://static.exercisedb.dev/media/0br45wL.gif,"Step:1 Start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together. | Step:2 Lower your body towards the ground by bending your elbows, keeping your back straight and your core engaged. | Step:3 As you push back up, lift one leg off the ground and kick it out to the side, keeping it straight. | Step:4 Lower your leg back down and repeat the push-up, then switch to the other leg. | Step:5 Continue alternating leg kicks with each push-up repetition.",0.0,3.5,3.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,Strength Training,1.7,0.9,1.9,1.9,1.6,8.5,8.0,6.0,5.0,3.0,1.4
27NNGFr,Cable Incline Fly (On Stability Ball),4,cable,pectorals,"deltoids, triceps",chest,3,https://static.exercisedb.dev/media/27NNGFr.gif,"Step:1 Set up a stability ball at an incline angle. | Step:2 Attach the cable handles to the high pulleys of a cable machine. | Step:3 Sit on the stability ball facing away from the machine, with your feet firmly planted on the ground. | Step:4 Grasp the cable handles with an overhand grip, palms facing forward. | Step:5 Lean forward slightly, keeping your back straight and core engaged. | Step:6 With a controlled motion, bring your arms out to the sides, keeping a slight bend in your elbows. | Step:7 Continue the motion until your arms are parallel to the ground. | Step:8 Pause for a moment, then slowly return to the starting position. | Step:9 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,3.0,6.0,6.0,8.0,7.0,5.4
a4F9Oyc,Kettlebell Double Alternating Hang Clean,4,kettlebell,biceps,"forearms, shoulders",upper arms,3,https://static.exercisedb.dev/media/a4F9Oyc.gif,"Step:1 Stand with your feet shoulder-width apart, holding a kettlebell in each hand with an overhand grip. | Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight and chest up. | Step:3 Allow the kettlebells to hang straight down in front of your body. | Step:4 In one fluid motion, explosively extend your hips and knees while shrugging your shoulders. | Step:5 As the kettlebells rise, pull them up towards your shoulders, keeping your elbows high and out to the sides. | Step:6 Catch the kettlebells at shoulder height, with your palms facing inward and your elbows pointing forward. | Step:7 Lower the kettlebells back down to the starting position and repeat for the desired number of repetitions.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,4.5,5.0,6.0,7.0,6.0,5.1
ecl28tP,Dumbbell Contralateral Forward Lunge,3,dumbbell,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/ecl28tP.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. | Step:2 Take a step forward with your right foot, keeping your back straight and core engaged. | Step:3 Lower your body by bending both knees until your right thigh is parallel to the ground. | Step:4 Push through your right heel to return to the starting position. | Step:5 Repeat with your left leg. | Step:6 Alternate legs for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,7.5,7.0,7.0,6.0,5.0,4.5
wnEscH8,Barbell Press Sit-Up,2,barbell,abs,"shoulders, chest",waist,3,https://static.exercisedb.dev/media/wnEscH8.gif,"Step:1 Lie flat on your back on a mat with your knees bent and feet flat on the ground. | Step:2 Hold the barbell with an overhand grip, resting it on your chest. | Step:3 Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. | Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,6.0,8.0,6.0,6.0,4.0,4.5
gVlnLIJ,Cable Reverse One Arm Curl,1,cable,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/gVlnLIJ.gif,"Step:1 Stand facing a cable machine with your feet shoulder-width apart. | Step:2 Grasp the cable handle with an underhand grip, palm facing down. | Step:3 Keep your elbow close to your side and slowly curl your forearm up towards your shoulder. | Step:4 Pause for a moment at the top, then slowly lower your forearm back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,7.0,7.0,5.0,4.0,4.0,2.9
mtXengz,Dumbbell Finger Curls,1,dumbbell,forearms,"wrist flexors, wrist extensors",lower arms,3,https://static.exercisedb.dev/media/mtXengz.gif,"Step:1 Sit on a bench or chair with your feet flat on the ground and your back straight. | Step:2 Hold a dumbbell in one hand with an underhand grip, resting your forearm on your thigh, palm facing up. | Step:3 Allow the dumbbell to roll down to your fingertips, then curl it back up by flexing your fingers. | Step:4 Repeat for the desired number of repetitions, then switch to the other hand.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,9.5,7.0,5.0,3.0,3.0,4.5
kuMiR2T,Band Stiff Leg Deadlift,3,band,glutes,"hamstrings, lower back",upper legs,3,https://static.exercisedb.dev/media/kuMiR2T.gif,"Step:1 Stand with your feet shoulder-width apart and place the band around your ankles. | Step:2 Hold the band with both hands in front of your thighs, palms facing your body. | Step:3 Keeping your back straight and your core engaged, hinge at the hips and slowly lower your upper body towards the ground. | Step:4 As you lower, push your hips back and allow your knees to bend slightly. | Step:5 Lower the band towards the ground, feeling a stretch in your hamstrings. | Step:6 Pause for a moment at the bottom, then engage your glutes and hamstrings to lift your upper body back up to the starting position. | Step:7 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,7.5,7.0,7.0,6.0,5.0,4.5
