exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
LMGXZn8,Barbell Decline Close Grip To Skull Press,2,barbell,triceps,"chest, shoulders",upper arms,3,https://static.exercisedb.dev/media/LMGXZn8.gif,"Step:1 Lie on a decline bench with your head lower than your feet and hold a barbell with a close grip. | Step:2 Lower the barbell towards your forehead by bending your elbows, keeping your upper arms stationary. | Step:3 Pause for a moment, then extend your arms to press the barbell back up to the starting position. | Step:4 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,6.0,8.0,6.0,6.0,4.0,4.5
0br45wL,Push-Up Inside Leg Kick,2,body weight,glutes,"quadriceps, hamstrings, calves, core",upper legs,5,https://static.exercisedb.dev/media/0br45wL.gif,"Step:1 Start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together. | Step:2 Lower your body towards the ground by bending your elbows, keeping your back straight and your core engaged. | Step:3 As you push back up, lift one leg off the ground and kick it out to the side, keeping it straight. | Step:4 Lower your leg back down and repeat the push-up, then switch to the other leg. | Step:5 Continue alternating leg kicks with each push-up repetition.",0.0,3.5,3.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,Strength Training,1.7,0.9,1.9,1.9,1.6,8.5,8.0,6.0,5.0,3.0,1.4
wnEscH8,Barbell Press Sit-Up,2,barbell,abs,"shoulders, chest",waist,3,https://static.exercisedb.dev/media/wnEscH8.gif,"Step:1 Lie flat on your back on a mat with your knees bent and feet flat on the ground. | Step:2 Hold the barbell with an overhand grip, resting it on your chest. | Step:3 Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. | Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,6.0,8.0,6.0,6.0,4.0,4.5
ZA8b5hc,Kettlebell Goblet Squat,2,kettlebell,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/ZA8b5hc.gif,"Step:1 Stand with your feet shoulder-width apart, holding a kettlebell close to your chest with both hands. | Step:2 Keeping your chest up and core engaged, lower your body down into a squat position by bending at the knees and hips. | Step:3 Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. | Step:4 Pause for a moment at the bottom, then push through your heels to return to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,8.5,8.0,6.0,5.0,3.0,4.5
DOoWcnA,Lever Chest Press,2,leverage machine,pectorals,"triceps, shoulders",chest,3,https://static.exercisedb.dev/media/DOoWcnA.gif,"Step:1 Adjust the seat height and position yourself on the machine with your back flat against the pad. | Step:2 Grasp the handles with an overhand grip and position your elbows at a 90-degree angle. | Step:3 Push the handles forward until your arms are fully extended, exhaling during the movement. | Step:4 Pause briefly at the end of the movement, then slowly return to the starting position, inhaling as you do so. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,7.0,8.0,6.0,5.0,3.0,4.5
F3xgbjF,Dumbbell Incline Biceps Curl,2,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/F3xgbjF.gif,"Step:1 Sit on an incline bench with a dumbbell in each hand, palms facing forward, and arms fully extended. | Step:2 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. | Step:3 Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. | Step:4 Hold the contracted position for a brief pause as you squeeze your biceps. | Step:5 Inhale and slowly begin to lower the dumbbells back to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,8.5,8.0,6.0,5.0,3.0,2.9
ZZTGMKh,One Arm Against Wall,2,body weight,lats,"shoulders, triceps",back,3,https://static.exercisedb.dev/media/ZZTGMKh.gif,"Step:1 Stand facing a wall with your feet shoulder-width apart. | Step:2 Extend one arm straight out in front of you and place your palm against the wall. | Step:3 Engage your core and lean your body forward, keeping your arm straight and your back flat. | Step:4 Slowly push against the wall with your palm, activating your lat muscles. | Step:5 Hold the position for a few seconds, then release and repeat with the other arm.",0.0,3.5,3.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,Strength Training,1.7,0.9,1.9,1.9,1.6,8.5,8.0,6.0,5.0,3.0,1.4
x6KpKpq,Close-Grip Push-Up,2,body weight,triceps,"chest, shoulders",upper arms,3,https://static.exercisedb.dev/media/x6KpKpq.gif,"Step:1 Start in a high plank position with your hands placed close together, directly under your shoulders. | Step:2 Engage your core and lower your body towards the ground, keeping your elbows close to your sides. | Step:3 Push through your palms to extend your arms and return to the starting position. | Step:4 Repeat for the desired number of repetitions.",0.0,3.5,3.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,Strength Training,1.7,0.9,1.9,1.9,1.6,8.5,8.0,6.0,5.0,3.0,1.4
84RyJf8,Dumbbell One Arm Shoulder Press,2,dumbbell,delts,"triceps, upper back",shoulders,3,https://static.exercisedb.dev/media/84RyJf8.gif,"Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in one hand at shoulder level, palm facing forward. | Step:2 Press the dumbbell upward until your arm is fully extended overhead. | Step:3 Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. | Step:4 Repeat for the desired number of repetitions, then switch to the other arm.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,8.5,8.0,6.0,5.0,3.0,4.5
UKWTJWR,Cable Standing Up Straight Crossovers,2,cable,pectorals,"deltoids, triceps",chest,3,https://static.exercisedb.dev/media/UKWTJWR.gif,"Step:1 Stand in the middle of a cable machine with your feet shoulder-width apart. | Step:2 Hold the handles of the cables with your palms facing down and your arms extended straight out to the sides. | Step:3 Keeping your arms straight, bring your hands together in front of your body, crossing them over each other. | Step:4 Pause for a moment, then slowly return to the starting position, keeping your arms extended. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,6.0,8.0,6.0,6.0,4.0,4.5
