exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
trmte8s,Band Shrug,1,band,traps,shoulders,neck,2,https://static.exercisedb.dev/media/trmte8s.gif,"Step:1 Stand with your feet shoulder-width apart and place the band under your feet, holding the ends with your hands. | Step:2 Keep your arms straight and relaxed, and let the band hang in front of your thighs. | Step:3 Engage your traps by shrugging your shoulders upward, lifting the band as high as possible. | Step:4 Hold the contraction for a moment, then slowly lower your shoulders back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiovascular Training,0.0,0.0,0.0,0.0,0.0,9.5,7.0,5.0,3.0,3.0,0.0
mtXengz,Dumbbell Finger Curls,1,dumbbell,forearms,"wrist flexors, wrist extensors",lower arms,3,https://static.exercisedb.dev/media/mtXengz.gif,"Step:1 Sit on a bench or chair with your feet flat on the ground and your back straight. | Step:2 Hold a dumbbell in one hand with an underhand grip, resting your forearm on your thigh, palm facing up. | Step:3 Allow the dumbbell to roll down to your fingertips, then curl it back up by flexing your fingers. | Step:4 Repeat for the desired number of repetitions, then switch to the other hand.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,9.5,7.0,5.0,3.0,3.0,4.5
obe5LMq,Band Side Triceps Extension,1,band,triceps,shoulders,upper arms,2,https://static.exercisedb.dev/media/obe5LMq.gif,"Step:1 Stand with your feet shoulder-width apart and hold the band with both hands, palms facing down. | Step:2 Extend your arms straight out to the sides, keeping them parallel to the ground. | Step:3 Slowly bend your elbows and bring your hands towards your shoulders, keeping your upper arms still. | Step:4 Pause for a moment, then slowly extend your arms back out to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,9.5,7.0,5.0,3.0,3.0,2.9
KXyoEtA,Dumbbell Seated Inner Biceps Curl,1,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/KXyoEtA.gif,"Step:1 Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up. | Step:2 Rest your upper arms on your thighs, allowing the dumbbells to hang down. | Step:3 Keeping your upper arms stationary, curl the dumbbells up towards your shoulders by contracting your biceps. | Step:4 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,9.5,7.0,5.0,3.0,3.0,2.9
bWxq4op,Dumbbell One Arm Reverse Preacher Curl,1,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/bWxq4op.gif,"Step:1 Sit on a preacher bench with your chest against the pad and your arm extended over the edge of the bench, holding a dumbbell with an underhand grip. | Step:2 Lower the dumbbell slowly until your arm is fully extended. | Step:3 Curl the dumbbell back up towards your shoulder, keeping your upper arm stationary. | Step:4 Squeeze your biceps at the top of the movement, then slowly lower the dumbbell back down to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch arms.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,9.5,7.0,5.0,3.0,3.0,2.9
zkgRrbK,Hyperextension (On Bench),1,body weight,spine,"glutes, hamstrings",back,3,https://static.exercisedb.dev/media/zkgRrbK.gif,"Step:1 Adjust the hyperextension bench so that your hips are resting comfortably on the pad and your feet are secured. | Step:2 Cross your arms over your chest or place your hands behind your head. | Step:3 Slowly lower your upper body towards the ground while keeping your back straight. | Step:4 Pause for a moment at the bottom, then raise your upper body back up until it is in line with your legs. | Step:5 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,9.5,7.0,5.0,3.0,3.0,5.4
jgbvVJ0,Dumbbell Incline T-Raise,1,dumbbell,delts,"traps, rhomboids",shoulders,3,https://static.exercisedb.dev/media/jgbvVJ0.gif,"Step:1 Set an incline bench to a 45-degree angle and sit on it with a dumbbell in each hand, palms facing inwards. | Step:2 Lean forward and let your arms hang straight down, perpendicular to the floor. | Step:3 Keeping your arms straight, raise them out to the sides until they are parallel to the floor, forming a 'T' shape with your body. | Step:4 Pause for a moment at the top, then slowly lower your arms back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,9.5,7.0,5.0,3.0,3.0,4.5
AQ0mC4Y,Dumbbell Full Can Lateral Raise,1,dumbbell,delts,"traps, rotator cuff",shoulders,3,https://static.exercisedb.dev/media/AQ0mC4Y.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your body. | Step:2 Keep your back straight and engage your core. | Step:3 Raise your arms out to the sides, keeping a slight bend in your elbows, until they are parallel to the ground. | Step:4 Pause for a moment at the top, then slowly lower your arms back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,9.5,7.0,5.0,3.0,3.0,4.5
zZlORz6,Dumbbell Lying One Arm Supinated Triceps Extension,1,dumbbell,triceps,forearms,upper arms,2,https://static.exercisedb.dev/media/zZlORz6.gif,"Step:1 Lie flat on a bench with your back and head supported, and your feet flat on the ground. | Step:2 Hold a dumbbell in one hand with an underhand grip, and extend your arm straight up above your shoulder. | Step:3 Keeping your upper arm stationary, slowly lower the dumbbell behind your head by bending your elbow. | Step:4 Pause for a moment at the bottom, then extend your arm back up to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch arms.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,9.5,7.0,5.0,3.0,3.0,2.9
KOpzGBL,Dumbbell Waiter Biceps Curl,1,dumbbell,biceps,"forearms, shoulders",upper arms,3,https://static.exercisedb.dev/media/KOpzGBL.gif,"Step:1 Stand up straight with a dumbbell in each hand, palms facing forward. | Step:2 Keep your upper arms close to your body and your elbows tucked in. | Step:3 Slowly curl the dumbbells up towards your shoulders, keeping your wrists straight. | Step:4 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,9.5,7.0,5.0,3.0,3.0,4.5
